rd_present,rd_velocity_cm_s,c4001_present,c4001_distance_m,c4001_raw_targets,c4001_raw_distance_m,datetime_seconds,activity,combined_rd_angle_deg_rd_x_mm,combined_rd_distance_mm_rd_y_mm,combined_c4001_velocity_m_s_c4001_raw_velocity_m_s,combined_c4001_energy_c4001_raw_energy
1.0,0.0,0.3333333333333333,0.36333333333333334,1.0,1.09,1788620460.0,SITTING,-35.61666666666667,995.8166666666666,-0.006666666666666667,5616.666666666667
1.0,0.0,0.5,0.545,1.0,1.09,1788620460.05,SITTING,-36.625,996.7125,-0.0075,6318.75
1.0,0.0,0.6,0.6540000000000001,1.0,1.09,1788620460.1,SITTING,-37.230000000000004,997.25,-0.008,6740.0
1.0,0.0,0.8,0.8720000000000001,1.0,1.09,1788620460.15,SITTING,-39.13,999.17,-0.009000000000000001,7582.5
1.0,0.0,1.0,1.09,1.0,1.09,1788620460.2,SITTING,-40.5,1000.8599999999999,-0.01,8425.0
1.0,0.0,1.0,1.09,1.0,1.09,1788620460.25,SITTING,-42.39,1003.4,-0.01,8425.0
1.0,0.0,1.0,1.1220000000000003,1.0,1.122,1788620460.3,SITTING,-44.29,1006.15,-0.008,6811.2
1.0,0.0,1.0,1.154,1.0,1.1540000000000001,1788620460.35,SITTING,-46.190000000000005,1008.9,-0.006,5197.4
1.0,0.0,1.0,1.1600000000000001,1.0,1.16,1788620460.4,SITTING,-48.08,1011.86,-0.004,4530.4
1.0,0.0,1.0,1.166,1.0,1.166,1788620460.45,SITTING,-49.97,1014.8199999999999,-0.002,3863.4
1.0,0.0,1.0,1.1660000000000001,1.0,1.166,1788620460.5,SITTING,-52.5,1017.8399999999999,0.0,4189.8
1.0,0.0,1.0,1.134,1.0,1.134,1788620460.55,SITTING,-54.39,1020.01,0.0,6130.0
1.0,0.0,1.0,1.098,1.0,1.098,1788620460.6,SITTING,-57.65,1023.7299999999999,0.0,6119.8
1.0,0.0,1.0,1.0880000000000003,1.0,1.088,1788620460.65,SITTING,-62.81,1027.71,0.0,5162.8
1.0,0.0,1.0,1.074,1.0,1.074,1788620460.7,SITTING,-67.97,1031.69,0.0,4452.4
1.0,0.0,1.0,1.066,1.0,1.066,1788620460.75,SITTING,-72.91999999999999,1035.0900000000001,0.0,2748.6
1.0,0.0,1.0,1.056,1.0,1.0560000000000003,1788620460.8,SITTING,-77.86999999999999,1038.49,0.0,1214.4
1.0,0.0,0.8,0.842,1.0,1.05,1788620460.85,SITTING,-82.29,1040.86,0.0,1392.0
1.0,0.0,0.6,0.628,1.0,1.046,1788620460.9,SITTING,-84.08,1041.71,0.0,1606.3
1.0,0.0,0.4,0.418,1.0,1.046,1788620460.95,SITTING,-86.71000000000001,1042.8899999999999,0.0,1574.0
1.0,0.0,0.2,0.20800000000000002,1.0,1.044,1788620461.0,SITTING,-88.39,1043.74,0.0,2151.6
1.0,0.0,0.0,0.0,1.0,1.044,1788620461.05,SITTING,-90.17,1045.2,0.0,2559.6
1.0,0.0,0.2,0.20800000000000002,1.0,1.044,1788620461.1,SITTING,-91.00999999999999,1045.9299999999998,0.0,3416.2
1.0,0.0,0.4,0.41600000000000004,1.0,1.042,1788620461.15,SITTING,-91.85,1046.66,0.0,4236.1
1.0,0.0,0.6,0.6220000000000001,1.0,1.038,1788620461.2,SITTING,-91.43,1046.79,0.0,6098.799999999999
1.0,0.0,0.8,0.8280000000000001,1.0,1.036,1788620461.25,SITTING,-91.00999999999999,1046.9199999999998,0.0,7351.599999999999
1.0,0.0,1.0,1.034,1.0,1.034,1788620461.3,SITTING,-90.28,1046.21,0.0,8604.4
1.0,0.0,1.0,1.032,1.0,1.032,1788620461.35,SITTING,-89.65,1045.71,0.0,9647.2
1.0,0.0,1.0,1.03,1.0,1.03,1788620461.4,SITTING,-88.91,1045.79,0.0,10690.0
1.0,0.0,1.0,1.03,1.0,1.03,1788620461.45,SITTING,-88.8,1046.97,0.0,10690.0
1.0,0.0,1.0,1.03,1.0,1.03,1788620461.5,SITTING,-88.69,1048.15,0.0,10690.0
1.0,0.0,1.0,1.03,1.0,1.03,1788620461.55,SITTING,-89.1,1050.2,0.0,10690.0
1.0,0.0,1.0,1.024,1.0,1.024,1788620461.6,SITTING,-89.51,1052.25,0.0,10320.0
1.0,0.0,1.0,1.018,1.0,1.018,1788620461.65,SITTING,-90.14,1054.1399999999999,0.0,9950.0
1.0,0.0,1.0,1.012,1.0,1.012,1788620461.7,SITTING,-90.56,1055.2,0.0,9580.0
1.0,0.0,1.0,1.006,1.0,1.006,1788620461.75,SITTING,-90.97,1056.85,0.0,9210.0
1.0,0.0,1.0,1.0,1.0,1.0,1788620461.8,SITTING,-91.07000000000001,1057.8600000000001,0.0,9720.2
1.0,0.0,1.0,1.0,1.0,1.0,1788620461.85,SITTING,-91.28,1059.29,0.0,10600.4
1.0,0.0,1.0,1.0,1.0,1.0,1788620461.9,SITTING,-91.59,1060.73,0.0,13101.6
1.0,0.0,1.0,1.0,1.0,1.0,1788620461.95,SITTING,-91.9,1062.1699999999998,0.0,15602.8
1.0,0.0,1.0,1.0,1.0,1.0,1788620462.0,SITTING,-92.43,1063.05,0.0,15450.8
1.0,0.0,1.0,1.0,1.0,1.0,1788620462.05,SITTING,-92.96000000000001,1063.9299999999998,0.0,14418.6
1.0,0.0,1.0,1.0,1.0,1.0,1788620462.1,SITTING,-93.38,1064.39,0.0,13386.4
1.0,0.0,1.0,1.0,1.0,1.0,1788620462.15,SITTING,-93.59,1064.42,0.0,10733.2
1.0,0.0,1.0,1.0,1.0,1.0,1788620462.2,SITTING,-94.21000000000001,1065.1100000000001,0.0,8080.0
1.0,0.0,1.0,1.0,1.0,1.0,1788620462.25,SITTING,-95.25,1066.67,0.0,8080.0
1.0,0.0,1.0,1.0,1.0,1.0,1788620462.3,SITTING,-96.29,1068.23,0.0,8080.0
1.0,0.0,1.0,1.0,1.0,1.0,1788620462.35,SITTING,-97.85000000000001,1070.87,0.0,8080.0
1.0,0.0,1.0,1.0,1.0,1.0,1788620462.4,SITTING,-99.41000000000001,1073.51,0.0,8080.0
1.0,0.0,1.0,1.0,1.0,1.0,1788620462.45,SITTING,-101.09,1076.37,0.0,8080.0
1.0,0.0,1.0,1.008,1.0,1.008,1788620462.5,SITTING,-102.14,1078.33,0.0,6709.2
1.0,0.0,1.0,1.016,1.0,1.016,1788620462.55,SITTING,-103.71,1080.98,0.0,5338.4
1.0,0.0,1.0,1.024,1.0,1.024,1788620462.6,SITTING,-104.76,1082.5500000000002,0.0,3967.6
1.0,0.0,1.0,1.032,1.0,1.032,1788620462.65,SITTING,-106.02,1084.1599999999999,0.0,2596.8
1.0,0.0,1.0,1.04,1.0,1.04,1788620462.7,SITTING,-106.85,1084.71,0.0,1226.0
1.0,0.0,0.8,0.8320000000000001,1.0,1.04,1788620462.75,SITTING,-107.67999999999999,1085.26,0.0,1103.4
1.0,0.0,0.6,0.624,1.0,1.04,1788620462.8,SITTING,-108.21,1084.96,0.0,980.8
