datetime,wifi,time_sync,rd_present,rd_distance_mm,rd_velocity_cm_s,rd_angle_deg,rd_x_mm,rd_y_mm,c4001_present,c4001_distance_m,c4001_velocity_m_s,c4001_energy,c4001_raw_targets,c4001_raw_distance_m,c4001_raw_velocity_m_s,c4001_raw_energy
TIME_NOT_SYNCED,1,0,1,763.7,0,5.6,75,760,1,0.78,0.00,61245,1,0.78,0.00,61245
2026-05-09 15:29:45,1,1,1,1411.4,-96,1.4,35,1411,1,1.16,-0.85,44785,1,1.16,-0.85,44785
2026-05-09 15:29:45,1,1,1,1411.4,-96,1.4,35,1411,1,1.16,-0.85,44785,1,1.16,-0.85,44785
2026-05-09 15:29:45,1,1,1,1331.5,-79,1.5,35,1331,1,1.16,-0.85,44785,1,1.16,-0.85,44785
2026-05-09 15:29:45,1,1,1,1257.2,-72,1.1,24,1257,1,1.16,-0.85,44785,1,1.16,-0.85,44785
2026-05-09 15:29:45,1,1,1,1257.2,-72,1.1,24,1257,1,1.16,-0.85,44785,1,1.16,-0.85,44785
2026-05-09 15:29:45,1,1,1,1183.4,-64,1.4,29,1183,1,1.00,-0.68,46665,1,1.00,-0.68,46665
2026-05-09 15:29:45,1,1,1,1183.4,-64,1.4,29,1183,1,1.00,-0.68,46665,1,1.00,-0.68,46665
2026-05-09 15:29:45,1,1,1,1116.5,-64,1.7,34,1116,1,0.96,-0.69,38810,1,0.96,-0.69,38810
2026-05-09 15:29:45,1,1,1,1116.5,-64,1.7,34,1116,1,0.96,-0.69,38810,1,0.96,-0.69,38810
2026-05-09 15:29:46,1,1,1,1050.5,-72,1.7,31,1050,1,0.89,-0.69,38810,1,0.89,-0.69,38810
2026-05-09 15:29:46,1,1,1,982.7,-72,2.1,36,982,1,0.89,-0.69,38810,1,0.89,-0.69,38810
2026-05-09 15:29:46,1,1,1,982.7,-72,2.1,36,982,1,0.80,-0.70,26948,1,0.80,-0.70,26948
2026-05-09 15:29:46,1,1,1,914.8,-72,2.4,38,914,1,0.80,-0.70,26948,1,0.80,-0.70,26948
2026-05-09 15:29:46,1,1,1,914.8,-72,2.4,38,914,1,0.74,-0.64,42618,1,0.74,-0.64,42618
2026-05-09 15:29:46,1,1,1,842.1,-64,4.1,60,840,1,0.74,-0.64,42618,1,0.74,-0.64,42618
2026-05-09 15:29:46,1,1,1,842.1,-64,4.1,60,840,1,0.66,-0.59,36109,1,0.66,-0.59,36109
2026-05-09 15:29:46,1,1,1,782.2,-39,5.9,81,778,1,0.66,-0.59,36109,1,0.66,-0.59,36109
