datetime,wifi,time_sync,rd_present,rd_distance_mm,rd_velocity_cm_s,rd_angle_deg,rd_x_mm,rd_y_mm,c4001_present,c4001_distance_m,c4001_velocity_m_s,c4001_energy,c4001_raw_targets,c4001_raw_distance_m,c4001_raw_velocity_m_s,c4001_raw_energy
09-05-2026 15:01,1,1,1,996.1,0,-3.7,-64,994,0,0,0,0,1,1.09,-0.01,8425
09-05-2026 15:01,1,1,1,997.4,0,-4,-69,995,0,0,0,0,1,1.09,-0.01,8425
09-05-2026 15:01,1,1,1,997.4,0,-4,-69,995,1,1.09,-0.01,8425,1,1.09,-0.01,8425
09-05-2026 15:01,1,1,1,1000.8,0,-4.3,-75,998,1,1.09,-0.01,8425,1,1.09,-0.01,8425
09-05-2026 15:01,1,1,1,1000.8,0,-4.3,-75,998,1,1.09,-0.01,8425,1,1.09,-0.01,8425
09-05-2026 15:01,1,1,1,1006.3,0,-4.7,-82,1003,1,1.09,-0.01,8425,1,1.09,-0.01,8425
09-05-2026 15:01,1,1,1,1006.3,0,-4.7,-82,1003,1,1.09,-0.01,8425,1,1.09,-0.01,8425
09-05-2026 15:01,1,1,1,1010.8,0,-4.9,-87,1007,1,1.09,-0.01,8425,1,1.09,-0.01,8425
09-05-2026 15:01,1,1,1,1015.3,0,-5.3,-93,1011,1,1.25,0,356,1,1.25,0,356
09-05-2026 15:01,1,1,1,1015.3,0,-5.3,-93,1011,1,1.25,0,356,1,1.25,0,356
09-05-2026 15:01,1,1,1,1021.9,0,-5.6,-100,1017,1,1.12,0,5090,1,1.12,0,5090
09-05-2026 15:01,1,1,1,1021.9,0,-5.6,-100,1017,1,1.12,0,5090,1,1.12,0,5090
09-05-2026 15:01,1,1,1,1027,0,-6.2,-111,1021,1,1.09,0,10057,1,1.09,0,10057
09-05-2026 15:01,1,1,1,1027,0,-6.2,-111,1021,1,1.09,0,10057,1,1.09,0,10057
09-05-2026 15:01,1,1,1,1035.5,0,-6.9,-124,1028,1,1.07,0,305,1,1.07,0,305
09-05-2026 15:01,1,1,1,1044.7,0,-8.2,-149,1034,1,1.07,0,305,1,1.07,0,305
09-05-2026 15:01,1,1,1,1044.7,0,-8.2,-149,1034,1,1.05,0,1538,1,1.05,0,1538
09-05-2026 15:01,1,1,1,1047,0,-8.7,-158,1035,1,1.05,0,1538,1,1.05,0,1538
09-05-2026 15:01,1,1,1,1047,0,-8.7,-158,1035,1,1.04,0,2386,1,1.04,0,2386
09-05-2026 15:01,1,1,1,1050.2,0,-9.1,-166,1037,0,0,0,0,1,1.04,0,2386
09-05-2026 15:01,1,1,1,1050.2,0,-9.1,-166,1037,0,0,0,0,1,1.05,0,2753
09-05-2026 15:01,1,1,1,1052.5,0,-9.5,-174,1038,0,0,0,0,1,1.05,0,2753
09-05-2026 15:01,1,1,1,1052.5,0,-9.5,-174,1038,0,0,0,0,1,1.04,0,8852
09-05-2026 15:01,1,1,1,1055.6,0,-9.5,-175,1041,0,0,0,0,1,1.04,0,8852
09-05-2026 15:01,1,1,1,1054.5,0,-9.5,-174,1040,1,1.04,0,5476,1,1.04,0,5476
09-05-2026 15:01,1,1,1,1054.5,0,-9.5,-174,1040,1,1.04,0,5476,1,1.04,0,5476
09-05-2026 15:01,1,1,1,1052.8,0,-9.3,-170,1039,1,1.03,0,10690,1,1.03,0,10690
09-05-2026 15:01,1,1,1,1052.8,0,-9.3,-170,1039,1,1.03,0,10690,1,1.03,0,10690
09-05-2026 15:01,1,1,1,1051.5,0,-9.2,-168,1038,1,1.03,0,10690,1,1.03,0,10690
09-05-2026 15:01,1,1,1,1051.5,0,-9.2,-168,1038,1,1.03,0,10690,1,1.03,0,10690
09-05-2026 15:01,1,1,1,1054.3,0,-9.1,-167,1041,1,1.03,0,10690,1,1.03,0,10690
09-05-2026 15:01,1,1,1,1058.6,0,-9.2,-169,1045,1,1.03,0,10690,1,1.03,0,10690
09-05-2026 15:01,1,1,1,1058.6,0,-9.2,-169,1045,1,1.03,0,10690,1,1.03,0,10690
09-05-2026 15:01,1,1,1,1062,0,-9.3,-172,1048,1,1.03,0,10690,1,1.03,0,10690
09-05-2026 15:01,1,1,1,1062,0,-9.3,-172,1048,1,1,0,8840,1,1,0,8840
09-05-2026 15:01,1,1,1,1064.2,0,-9.4,-173,1050,1,1,0,8840,1,1,0,8840
09-05-2026 15:01,1,1,1,1064.2,0,-9.4,-173,1050,1,1,0,8840,1,1,0,8840
09-05-2026 15:01,1,1,1,1067.1,0,-9.3,-173,1053,1,1,0,8840,1,1,0,8840
