datetime,wifi,time_sync,rd_present,rd_distance_mm,rd_velocity_cm_s,rd_angle_deg,rd_x_mm,rd_y_mm,c4001_present,c4001_distance_m,c4001_velocity_m_s,c4001_energy,c4001_raw_targets,c4001_raw_distance_m,c4001_raw_velocity_m_s,c4001_raw_energy
2026-05-09 16:44:21,1,1,1,777.9,0,-4.1,-55,776,1,0.97,0.23,10129,1,0.97,0.23,10129
2026-05-09 16:44:21,1,1,1,780.2,8,-4.3,-59,778,1,0.97,0.23,10129,1,0.97,0.23,10129
2026-05-09 16:44:21,1,1,1,780.2,8,-4.3,-59,778,1,0.97,0.23,10129,1,0.97,0.23,10129
2026-05-09 16:44:21,1,1,1,781.5,8,-4.6,-62,779,1,0.97,0.23,10129,1,0.97,0.23,10129
2026-05-09 16:44:21,1,1,1,781.5,8,-4.6,-62,779,1,0.97,0.23,10129,1,0.97,0.23,10129
2026-05-09 16:44:21,1,1,1,781.6,-16,-4.7,-64,779,1,0.97,0.23,10129,1,0.97,0.23,10129
2026-05-09 16:44:22,1,1,1,781.6,-16,-4.7,-64,779,1,0.99,0.00,62500,1,0.99,0.00,62500
2026-05-09 16:44:22,1,1,1,782.7,0,-4.8,-65,780,1,0.99,0.00,62500,1,0.99,0.00,62500
2026-05-09 16:44:22,1,1,1,782.7,0,-4.8,-65,780,1,0.99,0.00,62500,1,0.99,0.00,62500
2026-05-09 16:44:22,1,1,1,784.0,0,-5.0,-69,781,1,0.99,0.00,62500,1,0.99,0.00,62500
2026-05-09 16:44:22,1,1,1,784.1,0,-5.1,-70,781,1,0.99,0.00,62500,1,0.99,0.00,62500
2026-05-09 16:44:22,1,1,1,784.1,0,-5.1,-70,781,1,0.99,0.00,62500,1,0.99,0.00,62500
2026-05-09 16:44:22,1,1,1,785.1,0,-5.1,-70,782,1,0.99,0.00,62500,1,0.99,0.00,62500
2026-05-09 16:44:22,1,1,1,785.1,0,-5.1,-70,782,1,0.99,0.00,62500,1,0.99,0.00,62500
2026-05-09 16:44:22,1,1,1,784.0,0,-5.0,-69,781,1,0.78,0.00,49170,1,0.78,0.00,49170
2026-05-09 16:44:22,1,1,1,784.0,0,-5.0,-69,781,1,0.78,0.00,49170,1,0.78,0.00,49170
2026-05-09 16:44:22,1,1,1,784.0,0,-5.0,-69,781,1,0.78,0.00,37960,1,0.78,0.00,37960
2026-05-09 16:44:22,1,1,1,784.1,0,-5.1,-70,781,1,0.78,0.00,37960,1,0.78,0.00,37960
